device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_origin_in_trackbox_x,left_gaze_origin_in_trackbox_y,left_gaze_origin_in_trackbox_z,right_gaze_origin_in_trackbox_x,right_gaze_origin_in_trackbox_y,right_gaze_origin_in_trackbox_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
10784408283,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784419386,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784430489,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784441592,0,1,nan,nan,nan,-87.37255096435547,60.540897369384766,606.000732421875,nan,nan,nan,0.708402156829834,0.3225257098674774,0.4305056035518646,0,1,nan,nan,nan,-318.9837341308594,384.4818420410156,131.8939971923828,nan,nan,-0.01785043440759182,-0.13248805701732635,0,1,nan,4.3089141845703125
10784452695,0,1,nan,nan,nan,-87.37255096435547,60.540897369384766,606.000732421875,nan,nan,nan,0.708402156829834,0.3225257098674774,0.4305056035518646,0,1,nan,nan,nan,-318.9837341308594,384.4818420410156,131.8939971923828,nan,nan,-0.01785043440759182,-0.13248805701732635,0,1,nan,4.3089141845703125
10784463798,0,1,nan,nan,nan,-87.37255096435547,60.540897369384766,606.000732421875,nan,nan,nan,0.708402156829834,0.3225257098674774,0.4305056035518646,0,1,nan,nan,nan,-318.9837341308594,384.4818420410156,131.8939971923828,nan,nan,-0.01785043440759182,-0.13248805701732635,0,1,nan,4.3089141845703125
10784474901,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784486005,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784497108,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784508211,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
