device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_origin_in_trackbox_x,left_gaze_origin_in_trackbox_y,left_gaze_origin_in_trackbox_z,right_gaze_origin_in_trackbox_x,right_gaze_origin_in_trackbox_y,right_gaze_origin_in_trackbox_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
3297609639,1,1,-43.3636589050293,56.292091369628906,629.2059936523438,22.259511947631836,51.78372573852539,629.9131469726562,0.6010724902153015,0.34409579634666443,0.46641138195991516,0.45238932967185974,0.3602604866027832,0.46485987305641174,1,1,119.27943420410156,98.26361083984375,27.719154357910156,112.14180755615234,91.73267364501953,25.34209632873535,0.695789635181427,0.7492369413375854,0.6841671466827393,0.7693561315536499,1,1,3.54205322265625,3.7097930908203125
3297620742,1,1,-43.39472198486328,56.229122161865234,629.0821533203125,22.218915939331055,51.74568176269531,629.806396484375,0.6011637449264526,0.34425127506256104,0.4661582112312317,0.4524734914302826,0.36034753918647766,0.4646381735801697,1,1,119.49655151367188,98.61984252929688,27.848793029785156,113.12010192871094,91.22114562988281,25.15590476989746,0.6961431503295898,0.7481396198272705,0.6857602000236511,0.7709319591522217,1,1,3.5369873046875,3.6997528076171875
3297631845,1,1,-43.39777374267578,56.19864273071289,629.0335693359375,22.197288513183594,51.719764709472656,629.7561645507812,0.6011790037155151,0.3443300724029541,0.4660566449165344,0.452519029378891,0.36041259765625,0.4645322263240814,1,1,119.16580963134766,99.35603332519531,28.11676025390625,113.58744049072266,91.96744537353516,25.427526473999023,0.695604681968689,0.7458716034889221,0.6865211725234985,0.7686328887939453,1,1,3.5411376953125,3.69622802734375
3297642948,1,1,-43.39789962768555,56.16231155395508,628.9172973632812,22.173078536987305,51.690399169921875,629.6303100585938,0.6011981964111328,0.3444082736968994,0.46581920981407166,0.4525643289089203,0.36046937108039856,0.46427515149116516,1,1,118.17884063720703,99.88780975341797,28.310321807861328,114.49467468261719,91.64510345458984,25.31024169921875,0.6939975023269653,0.7442334294319153,0.6879984736442566,0.7696259617805481,1,1,3.53826904296875,3.6910552978515625
3297654051,1,1,-43.394325256347656,56.069942474365234,628.6838989257812,22.112611770629883,51.62268829345703,629.4210205078125,0.6012285947799683,0.34462428092956543,0.46533849835395813,0.45268598198890686,0.3606201410293579,0.46384289860725403,1,1,113.22843933105469,94.45169067382812,26.331743240356445,107.56768798828125,86.7800064086914,23.539451599121094,0.6859366297721863,0.760979950428009,0.6767189502716064,0.7846134305000305,1,1,3.5385589599609375,3.6942901611328125
3297665154,1,1,-43.38833999633789,55.99256134033203,628.4835815429688,22.030773162841797,51.54126739501953,629.208740234375,0.601248025894165,0.34480416774749756,0.4649257957935333,0.45285624265670776,0.36081090569496155,0.46340087056159973,1,1,109.93668365478516,87.68101501464844,23.86741828918457,102.839111328125,78.30943298339844,20.45644187927246,0.680576503276825,0.7818376421928406,0.6690192818641663,0.8107078671455383,1,1,3.5177764892578125,3.6991424560546875
3297676257,1,1,-43.38101577758789,55.913936614990234,628.387451171875,21.960124969482422,51.46257019042969,629.1080932617188,0.6012483239173889,0.3450163006782532,0.46471986174583435,0.45301029086112976,0.3610214293003082,0.4631827473640442,1,1,105.50890350341797,76.67051696777344,19.85992431640625,95.6373062133789,66.18212127685547,16.04241943359375,0.6733666062355042,0.8157566785812378,0.6572922468185425,0.8480673432350159,1,1,3.5064239501953125,3.698760986328125
3297687360,1,1,-43.37380599975586,55.813846588134766,628.3533325195312,21.877174377441406,51.352294921875,629.0846557617188,0.6012399196624756,0.3453103005886078,0.4646332859992981,0.45319926738739014,0.3613460659980774,0.4631122946739197,1,1,102.42813873291016,62.99817657470703,14.883577346801758,93.30329895019531,54.513519287109375,11.795442581176758,0.6683500409126282,0.8578757643699646,0.653491735458374,0.8840135931968689,1,1,3.49993896484375,3.702301025390625
3297698464,1,1,-43.38397216796875,55.80561447143555,628.5505981445312,21.889936447143555,51.32931900024414,629.2959594726562,0.6012327671051025,0.34538838267326355,0.465025395154953,0.45318806171417236,0.36146780848503113,0.46353039145469666,1,1,101.82015228271484,62.12456130981445,14.565606117248535,92.97901153564453,53.52406692504883,11.435303688049316,0.6673600077629089,0.8605669736862183,0.6529636979103088,0.8870617747306824,1,1,3.498504638671875,3.701934814453125
3297709567,1,1,-43.39292526245117,55.80276870727539,628.6546630859375,21.91730499267578,51.30763626098633,629.4115600585938,0.6012371182441711,0.3454248905181885,0.4652329087257385,0.4531359374523163,0.3615626394748688,0.46375903487205505,1,1,101.51736450195312,63.01419448852539,14.889418601989746,92.69438934326172,53.697174072265625,11.498295783996582,0.6668670773506165,0.8578265309333801,0.652500331401825,0.8865285515785217,1,1,3.4990386962890625,3.700714111328125
