device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_origin_in_trackbox_x,left_gaze_origin_in_trackbox_y,left_gaze_origin_in_trackbox_z,right_gaze_origin_in_trackbox_x,right_gaze_origin_in_trackbox_y,right_gaze_origin_in_trackbox_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
530693377,1,1,-64.38494110107422,98.06998443603516,602.8889770507812,-0.8894441723823547,95.8497314453125,606.0370483398438,0.6539067029953003,0.20400771498680115,0.42839452624320984,0.5036581754684448,0.21503649652004242,0.42714110016822815,1,1,46.58097457885742,149.31027221679688,46.29863357543945,49.26683044433594,137.28387451171875,41.92134094238281,0.5774120688438416,0.5919824242591858,0.5817855000495911,0.6290310621261597,1,1,3.27374267578125,3.1909637451171875
530704480,1,1,-64.37017822265625,98.07022094726562,602.8580322265625,-0.8654177784919739,95.8426513671875,605.9778442382812,0.6538794040679932,0.20399154722690582,0.42833080887794495,0.5036017298698425,0.21503028273582458,0.42702198028564453,1,1,47.19846725463867,148.96420288085938,46.17268371582031,49.188716888427734,137.12408447265625,41.86317825317383,0.5784175992012024,0.5930485129356384,0.5816583037376404,0.6295232176780701,1,1,3.2717437744140625,3.1873321533203125
530715583,1,1,-64.35283660888672,98.0541763305664,602.8359375,-0.8552618026733398,95.83112335205078,605.9539794921875,0.6538442373275757,0.20403139293193817,0.4282785654067993,0.5035780668258667,0.21505498886108398,0.42697107791900635,1,1,47.948020935058594,147.58982849121094,45.672447204589844,49.132972717285156,136.3914794921875,41.5965576171875,0.5796381235122681,0.5972824692726135,0.5815675854682922,0.6317800879478455,1,1,3.264312744140625,3.189117431640625
530726686,1,1,-64.33733367919922,97.99166107177734,602.7495727539062,-0.8495903611183167,95.7863540649414,605.8736572265625,0.6538307666778564,0.20418451726436615,0.4280858039855957,0.5035659074783325,0.21515576541423798,0.4267984628677368,1,1,47.8021240234375,147.96994018554688,45.81077194213867,48.849098205566406,135.369384765625,41.22456359863281,0.5794005393981934,0.596111536026001,0.5811052918434143,0.6349287033081055,1,1,3.2628326416015625,3.1957855224609375
530737789,1,1,-64.33798217773438,97.96135711669922,602.7299194335938,-0.8596223592758179,95.74183654785156,605.83740234375,0.6538380980491638,0.2042699158191681,0.42803773283958435,0.5035906434059143,0.21527709066867828,0.4267130196094513,1,1,47.05376434326172,148.27850341796875,45.92308044433594,49.02311325073242,134.57289123535156,40.9346923828125,0.5781818628311157,0.595160961151123,0.5813887119293213,0.637382447719574,1,1,3.263336181640625,3.2035675048828125
530748892,1,1,-64.354736328125,97.89847564697266,602.7024536132812,-0.8737274408340454,95.68876647949219,605.81494140625,0.6538863182067871,0.20445342361927032,0.42796728014945984,0.5036253333091736,0.21543186902999878,0.42665210366249084,1,1,47.33247375488281,148.47482299804688,45.994537353515625,48.867958068847656,135.30770874023438,41.202125549316406,0.5786357522010803,0.5945562720298767,0.5811360478401184,0.6351187229156494,1,1,3.270111083984375,3.2066497802734375
530759996,1,1,-64.39372253417969,97.83454132080078,602.6865844726562,-0.9009736180305481,95.63616180419922,605.803466796875,0.6539844870567322,0.20464541018009186,0.42792394757270813,0.5036908984184265,0.21559011936187744,0.4266131520271301,1,1,48.22752380371094,148.47906494140625,45.99608612060547,48.28215789794922,136.01039123535156,41.45787811279297,0.580093264579773,0.5945431590080261,0.5801821351051331,0.6329540014266968,1,1,3.2778778076171875,3.2037353515625
530771099,1,1,-64.41683197021484,97.8214340209961,602.7188110351562,-0.9262157082557678,95.61365509033203,605.861083984375,0.6540316343307495,0.2047024667263031,0.4279877841472626,0.5037509799003601,0.21568825840950012,0.4267199635505676,1,1,48.368499755859375,148.56912231445312,46.028873443603516,47.551475524902344,136.8325958251953,41.75715637207031,0.5803227424621582,0.5942656397819519,0.5789923071861267,0.6304210424423218,1,1,3.277069091796875,3.197296142578125
530782202,1,1,-64.46080780029297,97.8008804321289,602.7220458984375,-0.959567129611969,95.6064453125,605.8659057617188,0.6541355848312378,0.20476730167865753,0.42799681425094604,0.5038296580314636,0.2157120257616043,0.426727294921875,1,1,48.48564147949219,148.4691619873047,45.992488861083984,47.67942428588867,135.74765014648438,41.362281799316406,0.5805134773254395,0.5945734977722168,0.5792006850242615,0.6337634921073914,1,1,3.2764434814453125,3.1923065185546875
530793305,1,1,-64.50821685791016,97.79182434082031,602.7650146484375,-1.0035369396209717,95.5991439819336,605.9067993164062,0.6542374491691589,0.20481617748737335,0.4280882477760315,0.5039334297180176,0.2157534658908844,0.4268060326576233,1,1,47.516090393066406,148.6115264892578,46.0443115234375,48.03361129760742,135.80230712890625,41.38215637207031,0.5789346694946289,0.5941348671913147,0.5797774195671082,0.6335949897766113,1,1,3.2804412841796875,3.1956329345703125
