device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_origin_in_trackbox_x,left_gaze_origin_in_trackbox_y,left_gaze_origin_in_trackbox_z,right_gaze_origin_in_trackbox_x,right_gaze_origin_in_trackbox_y,right_gaze_origin_in_trackbox_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
8446333601,1,1,-87.6189193725586,66.97176361083984,540.3712768554688,-26.695907592773438,56.642112731933594,545.856689453125,0.7336534261703491,0.27638351917266846,0.30302026867866516,0.572258472442627,0.31734615564346313,0.2988731563091278,1,1,250.23416137695312,49.80879592895508,10.08305835723877,249.1544647216797,34.65229797363281,4.5665082931518555,0.9090280532836914,0.8985070586204529,0.9072700142860413,0.9451982378959656,1,1,3.784698486328125,4.383514404296875
8446344704,1,1,-87.6189193725586,66.97176361083984,540.3712768554688,-26.707191467285156,56.60965347290039,545.7868041992188,0.7336534261703491,0.27638351917266846,0.30302026867866516,0.5722976922988892,0.3174334168434143,0.2987286448478699,1,1,250.23416137695312,49.80879592895508,10.08305835723877,248.20709228515625,35.47652816772461,4.866512298583984,0.9090280532836914,0.8985070586204529,0.9057273864746094,0.9426590800285339,1,1,3.784698486328125,4.3983612060546875
8446355807,1,1,-87.62312316894531,66.92440032958984,540.3489379882812,-26.707191467285156,56.60965347290039,545.7868041992188,0.7336755394935608,0.27654018998146057,0.30296629667282104,0.5722976922988892,0.3174334168434143,0.2987286448478699,1,1,250.54266357421875,51.36269760131836,10.648652076721191,248.20709228515625,35.47652816772461,4.866512298583984,0.9095304608345032,0.8937201499938965,0.9057273864746094,0.9426590800285339,1,1,3.7816162109375,4.3983612060546875
8446366910,1,1,-87.63655090332031,66.84392547607422,540.3270263671875,-26.72217559814453,56.53345489501953,545.7681884765625,0.7337230443954468,0.27681320905685425,0.3029080927371979,0.5723415613174438,0.31769153475761414,0.29867735505104065,1,1,249.0489501953125,50.439849853515625,10.312734603881836,248.4093475341797,36.33019256591797,5.177250385284424,0.9070981740951538,0.8965631127357483,0.9060566425323486,0.9400293231010437,1,1,3.78497314453125,4.4000244140625
8446378013,1,1,-87.63655090332031,66.84392547607422,540.3270263671875,-26.726852416992188,56.50059509277344,545.8025512695312,0.7337230443954468,0.27681320905685425,0.3029080927371979,0.5723505020141602,0.3178183436393738,0.29873937368392944,1,1,249.0489501953125,50.439849853515625,10.312734603881836,249.7550506591797,36.49834442138672,5.238468647003174,0.9070981740951538,0.8965631127357483,0.9082478880882263,0.9395112991333008,1,1,3.78497314453125,4.39251708984375
8446389116,1,1,-87.65534210205078,66.81353759765625,540.35400390625,-26.726852416992188,56.50059509277344,545.8025512695312,0.733762264251709,0.27693137526512146,0.3029595911502838,0.5723505020141602,0.3178183436393738,0.29873937368392944,1,1,249.2664794921875,49.319061279296875,9.90479850769043,249.7550506591797,36.49834442138672,5.238468647003174,0.9074523448944092,0.9000157713890076,0.9082478880882263,0.9395112991333008,1,1,3.791900634765625,4.39251708984375
8446400219,1,1,-87.68282318115234,66.7546615600586,540.369873046875,-26.74913787841797,56.47315216064453,545.8203125,0.7338300943374634,0.27714452147483826,0.3029851019382477,0.5724074244499207,0.31791946291923523,0.2987712323665619,1,1,248.67343139648438,50.80632019042969,10.446133613586426,250.72418212890625,35.42942810058594,4.8494181632995605,0.9064866900444031,0.8954340219497681,0.9098259806632996,0.9428041577339172,1,1,3.789581298828125,4.3911285400390625
8446411322,1,1,-87.68282318115234,66.7546615600586,540.369873046875,-26.757102966308594,56.456932067871094,545.7924194335938,0.7338300943374634,0.27714452147483826,0.3029851019382477,0.5724322199821472,0.3179655373096466,0.2987132668495178,1,1,248.67343139648438,50.80632019042969,10.446133613586426,250.15383911132812,35.64472579956055,4.927764892578125,0.9064866900444031,0.8954340219497681,0.9088972806930542,0.9421409964561462,1,1,3.789581298828125,4.391448974609375
8446422426,1,1,-87.68024444580078,66.74597930908203,540.3048706054688,-26.757102966308594,56.456932067871094,545.7924194335938,0.7338511943817139,0.27714645862579346,0.30285486578941345,0.5724322199821472,0.3179655373096466,0.2987132668495178,1,1,247.00283813476562,50.47364044189453,10.325037956237793,250.15383911132812,35.64472579956055,4.927764892578125,0.903766393661499,0.8964589238166809,0.9088972806930542,0.9421409964561462,1,1,3.774993896484375,4.391448974609375
8446433529,1,1,-87.68524932861328,66.74293518066406,540.180419921875,-26.77752685546875,56.45722579956055,545.6746215820312,0.7339175343513489,0.27710193395614624,0.3026118278503418,0.5725004076957703,0.3179209530353546,0.29848119616508484,1,1,245.82510375976562,49.846065521240234,10.096596717834473,250.2234344482422,35.2245979309082,4.774864673614502,0.9018487334251404,0.8983922600746155,0.9090105891227722,0.9434351921081543,1,1,3.7606658935546875,4.384307861328125
