"device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter"
"7151170995,1,1,-46.759395599365234,79.07999420166016,608.020751953125,19.25425910949707,77.87686157226562,609.4158325195312,0.611786425113678,0.2666985094547272,0.429844468832016,0.45699286460876465,0.27351850271224976,0.4293464422225952,1,1,-64.80645751953125,293.7685546875,98.87713623046875,-66.09635162353516"
"7151182098,1,1,-46.9528694152832,79.02031707763672,608.4971923828125,19.095571517944336,77.88529968261719,609.8145751953125,0.6121578216552734,0.26707276701927185,0.43080079555511475,0.4573945999145508,0.2736445367336273,0.43012940883636475,1,1,-86.1015396118164,278.7391357421875,93.40687561035156,-85.74500274658203"
"7151193201,1,1,-47.28379440307617,78.92276000976562,609.421630859375,18.732070922851562,77.74415588378906,610.2642822265625,0.6127721071243286,0.26774194836616516,0.4326545298099518,0.45828232169151306,0.27424877882003784,0.4309631288051605,1,1,-122.97566223144531,244.697509765625,81.0167007446289,-126.88943481445312"
"7151204305,1,1,-47.28379440307617,78.92276000976562,609.421630859375,18.557010650634766,77.58354187011719,610.4481201171875,0.6127721071243286,0.26774194836616516,0.4326545298099518,0.45870938897132874,0.27481499314308167,0.4312766194343567,1,1,-122.97566223144531,244.697509765625,81.0167007446289,-145.6167755126953"
"7151215408,1,1,-47.5650749206543,78.028076171875,608.4501342773438,18.394365310668945,77.31880950927734,610.2054443359375,0.6136305928230286,0.27013149857521057,0.43054845929145813,0.45907852053642273,0.2755376100540161,0.43071886897087097,1,1,-184.68765258789062,162.80201721191406,51.209285736083984,-162.0953826904297"
"7151226511,1,1,-47.66792297363281,77.96310424804688,608.7467651367188,18.159751892089844,76.91529083251953,610.22314453125,0.6138203144073486,0.27045026421546936,0.4311346411705017,0.4596388638019562,0.27679261565208435,0.4306389093399048,1,1,-205.33056640625,158.25375366210938,49.55381774902344,-187.5498046875"
"7151237614,1,1,-47.66792297363281,77.96310424804688,608.7467651367188,18.08977508544922,76.79871368408203,610.2019653320312,0.6138203144073486,0.27045026421546936,0.4311346411705017,0.459803968667984,0.27714481949806213,0.4305635988712311,1,1,-205.33056640625,158.25375366210938,49.55381774902344,-195.60047912597656"
"7151248717,1,1,-47.7122802734375,77.89944458007812,608.5715942382812,18.03997230529785,76.69844818115234,610.0311279296875,0.6139577031135559,0.2705768644809723,0.4307788014411926,0.45991069078445435,0.2773885726928711,0.4301967918872833,1,1,-212.13633728027344,146.41763305664062,45.245819091796875,-201.2827911376953"
"7151259820,1,1,-47.74953842163086,77.9247055053711,608.328857421875,17.99854850769043,76.67082977294922,609.8009643554688,0.6140882968902588,0.2703986167907715,0.43031102418899536,0.45999160408973694,0.27738311886787415,0.42973095178604126,1,1,-215.93988037109375,125.63335418701172,37.68099594116211,-203.77464294433594"
"7151270923,1,1,-47.73294448852539,77.94398498535156,608.3922729492188,18.003040313720703,76.71062469482422,609.8809814453125,0.6140373349189758,0.27036458253860474,0.43043872714042664,0.4599858522415161,0.2772904932498932,0.4298999011516571,1,1,-214.56219482421875,126.14876556396484,37.86857223510742,-203.20265197753906"
"7151282026,1,1,-47.7432746887207,77.98660278320312,608.4514770507812,18.005558013916016,76.75386810302734,609.93896484375,0.6140496730804443,0.27025488018989563,0.430568128824234,0.4599830210208893,0.2771785259246826,0.43002575635910034,1,1,-213.4622344970703,123.95372772216797,37.06963348388672,-200.82115173339844"
"7151293130,1,1,-47.771148681640625,78.03030395507812,608.3731079101562,18.04863739013672,76.80387878417969,609.8660278320312,0.6141279935836792,0.2700856029987335,0.4304285943508148,0.4598756432533264,0.27699577808380127,0.4298962354660034,1,1,-209.95436096191406,124.60140991210938,37.30534362792969,-201.18212890625"
"7151304233,1,1,-47.778812408447266,78.03021240234375,608.3489379882812,18.07793426513672,76.82115936279297,609.831298828125,0.6141504049301147,0.27007585763931274,0.4303819537162781,0.45980414748191833,0.27692943811416626,0.42983338236808777,1,1,-210.1572265625,125.19139099121094,37.52009201049805,-200.30703735351562"
"7151315336,1,1,-47.78813552856445,78.0322265625,608.3845825195312,18.10807991027832,76.83351135253906,609.8627319335938,0.6141657829284668,0.27008357644081116,0.43045446276664734,0.45973560214042664,0.2769043743610382,0.42990052700042725,1,1,-210.76071166992188,126.26473999023438,37.91075897216797,-201.70767211914062"
"7151326439,1,1,-47.808101654052734,78.01931762695312,608.4337158203125,18.148588180541992,76.83015441894531,609.9047241210938,0.6142041087150574,0.27014297246932983,0.4305513799190521,0.45964404940605164,0.27693280577659607,0.4299854636192322,1,1,-210.5788116455078,126.75708770751953,38.08995819091797,-202.27264404296875"
"7151337542,1,1,-47.8242073059082,78.0104751586914,608.51416015625,18.1744327545166,76.81769561767578,610.0130615234375,0.6142275929450989,0.27020251750946045,0.4307108223438263,0.459591805934906,0.2770150303840637,0.4301987290382385,1,1,-210.50157165527344,126.89293670654297,38.13938903808594,-203.8199005126953"
"7151348645,1,1,-47.83985900878906,77.98934173583984,608.6327514648438,18.19260025024414,76.79937744140625,610.1233520507812,0.6142435073852539,0.2703157961368561,0.4309423863887787,0.4595578908920288,0.27711594104766846,0.4304139316082001,1,1,-211.04075622558594,127.1207504272461,38.2222900390625,-203.36941528320312"
"7151359748,1,1,-47.86712646484375,77.93982696533203,608.9429321289062,18.2305850982666,76.765380859375,610.3998413085938,0.6142527461051941,0.2705944776535034,0.431547611951828,0.45949020981788635,0.27733126282691956,0.4309561848640442,1,1,-211.5037078857422,127.94104766845703,38.5208854675293,-203.10389709472656"
"7151370851,1,1,-47.87490463256836,77.929931640625,609.0445556640625,18.247772216796875,76.74372100830078,610.5424194335938,0.6142528653144836,0.2706659138202667,0.43174731731414795,0.4594610631465912,0.27745503187179565,0.4312345087528229,1,1,-211.67047119140625,126.70048522949219,38.06937026977539,-202.93246459960938"
"7151381955,1,1,-47.88949203491211,77.92789459228516,609.1704711914062,18.260229110717773,76.7364501953125,610.6586303710938,0.6142644286155701,0.2707224190235138,0.43199804425239563,0.4594406187534332,0.2775234580039978,0.43146398663520813,1,1,-212.22952270507812,126.47564697265625,37.98753356933594,-203.16111755371094"
