"device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter"
"7183308493,1,1,-25.670717239379883,83.51150512695312,578.7801513671875,41.3918342590332,81.54386138916016,577.6256713867188,0.5650794506072998,0.24040043354034424,0.3706744313240051,0.3996504247188568,0.2490140050649643,0.36963939666748047,1,1,138.03778076171875,71.31816101074219,17.911813735961914,127.09016418457031"
"7183319596,1,1,-25.650121688842773,83.4239730834961,578.5269775390625,41.42550277709961,81.44168090820312,577.2783203125,0.5650578141212463,0.2405683994293213,0.3701469600200653,0.3995072543621063,0.2491912990808487,0.36892956495285034,1,1,139.2035369873047,69.62210845947266,17.294490814208984,126.52713775634766"
"7183330700,1,1,-25.651519775390625,83.29737854003906,578.3373413085938,41.42884826660156,81.36628723144531,577.1170043945312,0.5650849342346191,0.24089430272579193,0.3697359561920166,0.39947184920310974,0.2493651807308197,0.3685903251171112,1,1,139.31004333496094,72.34735870361328,18.28640365600586,126.47402954101562"
"7183341803,1,1,-25.70432472229004,83.11526489257812,578.0924072265625,41.39421844482422,81.23828887939453,576.8528442382812,0.5652463436126709,0.24137461185455322,0.3692043423652649,0.3995130658149719,0.24966348707675934,0.3680279552936554,1,1,139.6431427001953,73.29109191894531,18.629878997802734,126.40618133544922"
"7183352906,1,1,-25.730497360229492,83.0687026977539,578.0936889648438,41.38529968261719,81.19710540771484,576.8486938476562,0.5653122067451477,0.241527259349823,0.3691959083080292,0.39953547716140747,0.24979683756828308,0.368007093667984,1,1,139.4528350830078,73.9918212890625,18.884925842285156,126.4292984008789"
"7183364009,1,1,-25.751548767089844,82.96460723876953,577.8079223632812,41.373695373535156,81.15177154541016,576.630859375,0.5653974413871765,0.24173325300216675,0.36860302090644836,0.3995259702205658,0.24984540045261383,0.36756250262260437,1,1,140.94384765625,71.88977813720703,18.119855880737305,125.88762664794922"
"7183375112,1,1,-25.742326736450195,82.81609344482422,577.4813232421875,41.39162063598633,81.0566635131836,576.2900390625,0.5654135346412659,0.2420676052570343,0.3679140508174896,0.39942240715026855,0.25000250339508057,0.3668653666973114,1,1,140.58856201171875,71.10037994384766,17.83256721496582,125.26991271972656"
"7183386215,1,1,-25.722518920898438,82.76606750488281,577.4530029296875,41.43919372558594,81.02062225341797,576.2443237304688,0.5653690099716187,0.24221967160701752,0.3678421676158905,0.39929741621017456,0.2501021921634674,0.36677172780036926,1,1,140.15516662597656,70.31108856201172,17.545276641845703,125.67376708984375"
"7183397318,1,1,-25.63631248474121,82.70463562011719,577.3455200195312,41.50762176513672,80.99227142333984,576.155029296875,0.565169095993042,0.2423744648694992,0.3676046133041382,0.39911261200904846,0.2501572370529175,0.36659717559814453,1,1,139.12928771972656,68.37704467773438,16.841339111328125,126.07904052734375"
"7183408421,1,1,-25.468780517578125,82.65691375732422,577.2957153320312,41.72324752807617,81.02644348144531,576.0772094726562,0.5647615790367126,0.24251478910446167,0.3674778938293457,0.3985638916492462,0.250017374753952,0.36648377776145935,1,1,139.01014709472656,69.18014526367188,17.133638381958008,126.0682373046875"
"7183419525,1,1,-25.364988327026367,82.70154571533203,577.3355712890625,41.89175033569336,81.10759735107422,576.1033325195312,0.5644994974136353,0.24239084124565125,0.3675602972507477,0.3981494605541229,0.24976852536201477,0.3665820360183716,1,1,139.68479919433594,68.23450469970703,16.789466857910156,126.37334442138672"
