device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
929032195,1,1,-52.85512161254883,-25.58721351623535,681.0227661132812,6.300486087799072,-29.2773380279541,683.2693481445312,0.615651547908783,0.5857565999031067,0.5670996308326721,0.49169498682022095,0.5976730585098267,0.5678505897521973,1,1,-14.180082321166992,215.08737182617188,70.23954010009766,-16.71903419494629
929043298,1,1,-53.15039825439453,-25.672122955322266,680.8486938476562,6.009974479675293,-29.328548431396484,683.1253051757812,0.6163020133972168,0.5860027074813843,0.5668049454689026,0.492300808429718,0.5978240370750427,0.5675619840621948,1,1,-15.01997184753418,217.0117950439453,70.93997955322266,-12.783548355102539
929054401,1,1,-53.584781646728516,-25.80185317993164,680.6639404296875,5.481314659118652,-29.389019012451172,682.9425659179688,0.6172477602958679,0.586371123790741,0.5665145516395569,0.49340447783470154,0.5979979634284973,0.5671932101249695,1,1,-13.829479217529297,217.47474670410156,71.10848236083984,-10.04411506652832
929065504,1,1,-54.12202835083008,-25.944658279418945,680.3792114257812,4.970289707183838,-29.45538330078125,682.7206420898438,0.6184272170066833,0.5867835879325867,0.5660427212715149,0.4944714307785034,0.5981937646865845,0.5667476654052734,1,1,-13.833962440490723,216.27378845214844,70.6714096069336,-8.589864730834961
929076607,1,1,-54.61436080932617,-26.073755264282227,680.1615600585938,4.516263961791992,-29.52686882019043,682.5537109375,0.6195015907287598,0.587152361869812,0.5656973719596863,0.4954206645488739,0.5983991026878357,0.5664140582084656,1,1,-14.08267879486084,215.38113403320312,70.34649658203125,-10.302046775817871
929087710,1,1,-54.963932037353516,-26.164045333862305,679.8941650390625,4.086220741271973,-29.5881290435791,682.2724609375,0.6202840209007263,0.5874223113059998,0.5652276873588562,0.49631863832473755,0.598590612411499,0.5658519268035889,1,1,-16.125431060791016,214.0966033935547,69.87895965576172,-12.021472930908203
929098813,1,1,-55.41316223144531,-26.291635513305664,679.6217041015625,3.670417070388794,-29.66983985900879,682.05859375,0.6212785243988037,0.5877944827079773,0.5647674798965454,0.49718865752220154,0.5988316535949707,0.5654270052909851,1,1,-15.364084243774414,213.64727783203125,69.71537780761719,-12.592289924621582
929109917,1,1,-55.777610778808594,-26.418359756469727,679.3438720703125,3.301579236984253,-29.73577117919922,681.8233642578125,0.6220964193344116,0.5881677865982056,0.5642831921577454,0.4979603588581085,0.5990328788757324,0.5649589896202087,1,1,-16.50996208190918,212.52455139160156,69.30675506591797,-13.467401504516602
929121020,1,1,-56.04001235961914,-26.530109405517578,679.050537109375,2.972755193710327,-29.811927795410156,681.504150390625,0.6227024793624878,0.5885043144226074,0.5637506246566772,0.4986483156681061,0.5992743372917175,0.5643247365951538,1,1,-16.46190643310547,212.61305236816406,69.33895874023438,-15.80817699432373
929132123,1,1,-56.36912155151367,-26.6734619140625,678.8373413085938,2.6380701065063477,-29.897178649902344,681.337890625,0.6234362721443176,0.5889190435409546,0.5633915066719055,0.49935051798820496,0.5995224118232727,0.563997209072113,1,1,-16.71550750732422,210.70468139648438,68.64437103271484,-13.809283256530762
929143226,1,1,-56.643829345703125,-26.8171329498291,678.7154541015625,2.306466579437256,-29.985822677612305,681.2407836914062,0.6240397691726685,0.589326798915863,0.5632055401802063,0.5000470280647278,0.5997717380523682,0.5638086199760437,1,1,-15.888425827026367,211.47666931152344,68.92536926269531,-7.4732441902160645
929154329,1,1,-56.83327102661133,-26.91944122314453,678.6931762695312,2.046660900115967,-30.102113723754883,681.2318115234375,0.6244451999664307,0.5896103978157043,0.563200831413269,0.500594437122345,0.6000897884368896,0.5637992024421692,1,1,-17.2873477935791,211.21522521972656,68.83023071289062,-6.65321683883667
929165432,1,1,-57.09198760986328,-27.049646377563477,678.8518676757812,1.8367259502410889,-30.182323455810547,681.3950805664062,0.6249650716781616,0.5899503827095032,0.5635703206062317,0.5010371804237366,0.6002872586250305,0.5641313195228577,1,1,-16.096708297729492,210.5553741455078,68.59004211425781,-10.077584266662598
929176535,1,1,-57.32082748413086,-27.132150650024414,679.26904296875,1.6543054580688477,-30.28755760192871,681.8425903320312,0.6253743767738342,0.5901290774345398,0.5644460320472717,0.5014238357543945,0.6005200147628784,0.5650339126586914,1,1,-15.522285461425781,206.2807159423828,67.0341796875,-15.342565536499023
929187638,1,1,-57.49305725097656,-27.15886688232422,679.7665405273438,1.5495468378067017,-30.322654724121094,682.2557983398438,0.6256484389305115,0.590144157409668,0.5654677748680115,0.5016456246376038,0.6005634665489197,0.5658621788024902,1,1,-5.427592754364014,196.9484100341797,63.63748550415039,-14.62453842163086
929198742,1,1,-57.65135955810547,-27.19717025756836,680.2174072265625,1.391829490661621,-30.43340301513672,682.6968383789062,0.6259015202522278,0.5901971459388733,0.5663954019546509,0.5019798278808594,0.6008127331733704,0.5667524337768555,1,1,0.6653532385826111,191.85812377929688,61.7847785949707,-9.385825157165527
929209845,1,0,-57.76762390136719,-27.163761138916016,680.4898681640625,nan,nan,nan,0.6260960698127747,0.5900701880455017,0.5669549703598022,nan,nan,nan,1,0,38.26671600341797,164.7907257080078,51.93303298950195,nan
929220948,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929232051,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929243154,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929254257,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929265360,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929276463,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929287567,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929298670,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929309773,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan
929320876,1,1,-60.69598388671875,-28.330848693847656,680.3180541992188,-2.113006591796875,-31.239458084106445,683.1961059570312,0.6323085427284241,0.5932651162147522,0.567215085029602,0.5093271136283875,0.6028878688812256,0.5678263902664185,1,1,22.216344833374023,154.03741455078125,48.01909637451172,8.063125610351562
929331979,1,1,-60.69598388671875,-28.330848693847656,680.3180541992188,-2.232762336730957,-31.28875732421875,683.19873046875,0.6323085427284241,0.5932651162147522,0.567215085029602,0.5095785856246948,0.6030212640762329,0.5678370594978333,1,1,22.216344833374023,154.03741455078125,48.01909637451172,1.6181132793426514
929343082,1,1,-61.03197479248047,-28.34281349182129,680.0543823242188,-2.3849754333496094,-31.289613723754883,683.0765991210938,0.6330647468566895,0.5933180451393127,0.56675124168396,0.5098978877067566,0.6030344367027283,0.5675939917564392,1,1,5.356511116027832,150.20571899414062,46.624488830566406,3.768369197845459
929354185,1,1,-61.40784454345703,-28.379493713378906,679.924072265625,-2.6978633403778076,-31.31315040588379,682.9951782226562,0.6338805556297302,0.5934237837791443,0.5665622353553772,0.5105533599853516,0.6031006574630737,0.5674358010292053,1,1,-6.64456844329834,152.19117736816406,47.34715270996094,0.8142524361610413
929365288,1,1,-61.56961441040039,-28.389286041259766,679.9863891601562,-3.046797275543213,-31.332626342773438,682.9406127929688,0.6342089772224426,0.5934390425682068,0.566716194152832,0.5112839937210083,0.6031510233879089,0.5673315525054932,1,1,-3.401571750640869,150.706787109375,46.80690383911133,1.7561980485916138
929376392,1,1,-61.85320281982422,-28.431900024414062,680.2110595703125,-3.3067798614501953,-31.382095336914062,683.1814575195312,0.6347630023956299,0.5935238003730774,0.567218005657196,0.51182621717453,0.6032500267028809,0.5678197145462036,1,1,-3.9839391708374023,155.37149047851562,48.504722595214844,2.0006158351898193
929387495,1,1,-62.05876159667969,-28.4708251953125,680.2978515625,-3.5371522903442383,-31.41144561767578,683.2963256835938,0.6351792216300964,0.5936164259910583,0.5674312710762024,0.5123071074485779,0.6033099293708801,0.56805419921875,1,1,-3.0261335372924805,157.31349182128906,49.211570739746094,0.46401622891426086
929398598,1,1,-62.336307525634766,-28.524303436279297,680.552978515625,-3.750009775161743,-31.425167083740234,683.535888671875,0.6357142925262451,0.593728244304657,0.5679937601089478,0.5127493143081665,0.6033108830451965,0.5685362815856934,1,1,-5.574612617492676,160.99276733398438,50.55070877075195,-2.0597712993621826
929409701,1,1,-62.571266174316406,-28.5410099029541,680.789306640625,-3.9524126052856445,-31.386457443237305,683.7888793945312,0.6361623406410217,0.5937405824661255,0.5685084462165833,0.5131679773330688,0.6031643748283386,0.5690405368804932,1,1,-2.0554070472717285,158.86988830566406,49.778079986572266,-2.6529767513275146
929420804,1,1,-62.75107192993164,-28.52330207824707,681.1411743164062,-4.142480373382568,-31.281614303588867,684.23486328125,0.6364710330963135,0.5936451554298401,0.5692400932312012,0.5135563015937805,0.6028096675872803,0.5699240565299988,1,1,-1.8920923471450806,158.09005737304688,49.494224548339844,-2.188882827758789
929431907,1,1,-62.953548431396484,-28.458951950073242,681.4117431640625,-4.295446872711182,-31.166885375976562,684.4805908203125,0.6368415951728821,0.5934278964996338,0.5698103308677673,0.5138693451881409,0.6024543642997742,0.5704064965248108,1,1,-1.2775774002075195,157.19192504882812,49.167354583740234,-1.5125783681869507
929443010,1,1,-63.12141036987305,-28.360769271850586,681.8107299804688,-4.431218147277832,-30.953750610351562,684.8662719726562,0.6371133327484131,0.5931028723716736,0.570626974105835,0.514141857624054,0.6018086671829224,0.5711594223976135,1,1,-4.039802551269531,159.09744262695312,49.86084747314453,-0.45261430740356445
929454113,1,1,-63.241512298583984,-28.264007568359375,682.0252075195312,-4.539191246032715,-30.704296112060547,685.1332397460938,0.6373206973075867,0.5928043723106384,0.571067750453949,0.5143570899963379,0.6010782122612,0.5716719031333923,1,1,-4.672118186950684,158.47903442382812,49.63578414916992,1.2095578908920288
929465217,1,1,-63.367313385009766,-28.172866821289062,682.4650268554688,-4.6113152503967285,-30.502958297729492,685.5530395507812,0.6374959945678711,0.592496395111084,0.571958601474762,0.5144962072372437,0.600464403629303,0.5724935531616211,1,1,-5.129612445831299,158.83914184570312,49.766845703125,1.115126132965088
929476320,1,1,-63.49103927612305,-28.091960906982422,682.9152221679688,-4.655379772186279,-30.323740005493164,685.968505859375,0.6376649737358093,0.5922161936759949,0.5728707313537598,0.5145773887634277,0.5999141931533813,0.5733084678649902,1,1,-5.853183746337891,159.90185546875,50.153648376464844,0.5148100256919861
929487423,1,1,-63.57172775268555,-28.069997787475586,683.32958984375,-4.697059154510498,-30.171947479248047,686.4441528320312,0.6377522349357605,0.5921061038970947,0.5737083554267883,0.5146532654762268,0.5994334816932678,0.5742459893226624,1,1,-6.065338611602783,162.82261657714844,51.216712951660156,2.032566547393799
929498526,1,1,-63.629390716552734,-28.068803787231445,683.6180419921875,-4.71195125579834,-30.034130096435547,686.7326049804688,0.6378163695335388,0.5920688509941101,0.5742927193641663,0.5146765112876892,0.5990156531333923,0.5748104453086853,1,1,-5.248042583465576,163.49002075195312,51.45961380004883,3.5499444007873535
929509629,1,1,-63.63688659667969,-28.10814094543457,683.8839111328125,-4.683887958526611,-29.92940330505371,686.9744873046875,0.637781023979187,0.5921485424041748,0.5748264193534851,0.5146119594573975,0.5986969470977783,0.5752841830253601,1,1,-6.515350818634033,164.54074096679688,51.8420524597168,4.650150775909424
929520732,1,1,-63.602813720703125,-28.143190383911133,683.9423217773438,-4.593556880950928,-29.842065811157227,687.0285034179688,0.6376992464065552,0.5922406911849976,0.5749391913414001,0.5144212245941162,0.5984510779380798,0.5753833055496216,1,1,-5.628213882446289,162.9083709716797,51.24790954589844,3.142747640609741
929531835,1,1,-63.53767776489258,-28.186325073242188,684.035888671875,-4.490861892700195,-29.777729034423828,687.1112670898438,0.6375460028648376,0.5923524498939514,0.5751168131828308,0.5142050385475159,0.598266065120697,0.5755417346954346,1,1,-6.044073581695557,163.71534729003906,51.54164123535156,3.6489176750183105
929542938,1,1,-63.391578674316406,-28.200288772583008,684.1893310546875,-4.309874057769775,-29.654848098754883,687.22607421875,0.6372111439704895,0.5923787951469421,0.5753963589668274,0.5138242840766907,0.5979173183441162,0.575758159160614,1,1,-4.095961093902588,161.4549560546875,50.71892547607422,3.7582080364227295
929554042,1,1,-63.2164421081543,-28.17342185974121,684.2017822265625,-4.0442214012146,-29.539697647094727,687.2243041992188,0.6368421912193298,0.5923081040382385,0.5753867030143738,0.5132694244384766,0.5976067185401917,0.5757415890693665,1,1,-3.2326934337615967,161.15586853027344,50.610084533691406,2.2783567905426025
929565145,1,1,-63.01015090942383,-28.129484176635742,684.3738403320312,-3.7779810428619385,-29.42450523376465,687.37841796875,0.6363768577575684,0.5921729803085327,0.5756876468658447,0.5127114653587341,0.5972774624824524,0.5760366320610046,1,1,-3.1920158863067627,160.94680786132812,50.53398895263672,1.592533826828003
929576248,1,1,-62.679805755615234,-28.030031204223633,684.5062866210938,-3.412505865097046,-29.288585662841797,687.4738159179688,0.6356589198112488,0.5918917655944824,0.5758826732635498,0.5119478106498718,0.5969010591506958,0.5762118101119995,1,1,-4.45217227935791,162.96270751953125,51.267723083496094,-0.7560245990753174
929587351,1,1,-62.40912628173828,-27.922077178955078,684.6507568359375,-3.10323166847229,-29.106306076049805,687.5963134765625,0.6350633502006531,0.5915837287902832,0.5761122107505798,0.5112996697425842,0.5963913202285767,0.5764381289482117,1,1,-9.946915626525879,163.86141967773438,51.5948486328125,-1.5617384910583496
929598454,1,1,-62.13984680175781,-27.760141372680664,684.3865966796875,-2.849896192550659,-28.894840240478516,687.2987670898438,0.6345474123954773,0.5911705493927002,0.5755246877670288,0.5107712745666504,0.5958481431007385,0.5758236050605774,1,1,-31.439790725708008,168.13963317871094,53.152000427246094,-17.2318115234375
929609557,1,1,-62.01123046875,-27.667444229125977,684.082763671875,-2.7292096614837646,-28.678848266601562,686.8024291992188,0.6343343257904053,0.5909498929977417,0.5748893022537231,0.5105199217796326,0.5953107476234436,0.574812650680542,1,1,-43.80526351928711,169.66876220703125,53.70857620239258,-49.73421859741211
929620660,1,1,-61.75528335571289,-27.404207229614258,683.904052734375,-2.5808095932006836,-28.524627685546875,686.6599731445312,0.6338268518447876,0.5902441740036011,0.5744664072990417,0.5102089047431946,0.5949040651321411,0.5745140314102173,1,1,-98.4451675415039,200.34075927734375,64.8722915649414,-90.16307830810547
929631763,1,1,-61.42379379272461,-27.197275161743164,683.94482421875,-2.3744754791259766,-28.39632225036621,686.6615600585938,0.633121132850647,0.5896736979484558,0.574471652507782,0.5097767114639282,0.5945544242858887,0.5745051503181458,1,1,-128.6951141357422,222.09461975097656,72.79000854492188,-112.9012222290039
929642867,1,1,-61.194637298583984,-27.13969612121582,683.4085693359375,-2.0244483947753906,-28.37612533569336,686.2874755859375,0.6327416896820068,0.5895783305168152,0.5733588933944702,0.5090509057044983,0.594552218914032,0.5737536549568176,1,1,-127.37786102294922,219.81700134277344,71.96100616455078,-121.23380279541016
929653970,1,1,-60.84550094604492,-27.118389129638672,682.83642578125,-1.6671980619430542,-28.374900817871094,685.6436157226562,0.6321181058883667,0.5895916223526001,0.5721562504768372,0.5083113312721252,0.594633936882019,0.5724650621414185,1,1,-128.1719970703125,220.212890625,72.10505676269531,-118.7164535522461
929665073,1,1,-60.48994827270508,-27.09425163269043,682.1317749023438,-1.330419659614563,-28.40369415283203,684.87646484375,0.6315047740936279,0.5896115899085999,0.5706887245178223,0.5076144933700562,0.5948126912117004,0.5709329843521118,1,1,-129.7235107421875,222.2179412841797,72.83485412597656,-119.16281127929688
929676176,1,1,-60.180259704589844,-27.073083877563477,681.9110717773438,-1.0363826751708984,-28.450252532958984,684.6461791992188,0.6308963894844055,0.589586079120636,0.5701931118965149,0.5070034265518188,0.5949780344963074,0.570475697517395,1,1,-128.76480102539062,222.38336181640625,72.89505004882812,-118.15242767333984
929687279,1,1,-59.963687896728516,-27.06597328186035,681.8901977539062,-0.7828250527381897,-28.532180786132812,684.6012573242188,0.6304461359977722,0.5895752906799316,0.5701130628585815,0.5064765810966492,0.5952191352844238,0.5703920722007751,1,1,-128.41297912597656,224.7615509033203,73.76068115234375,-116.81394958496094
929698382,1,1,-59.75955581665039,-27.043128967285156,681.8390502929688,-0.5449146032333374,-28.631500244140625,684.5278930664062,0.6300271153450012,0.589523434638977,0.5699737668037415,0.5059828758239746,0.5955114364624023,0.570253312587738,1,1,-127.31048583984375,224.31979370117188,73.59991455078125,-117.59892272949219
929709485,1,1,-59.63885498046875,-27.07663917541504,681.811279296875,-0.3722795844078064,-28.70492935180664,684.4261474609375,0.6297800540924072,0.5896239280700684,0.5699001550674438,0.5056247711181641,0.5957329273223877,0.5700557827949524,1,1,-130.0194091796875,228.89895629882812,75.2666244506836,-116.44833374023438
929720588,1,1,-59.441837310791016,-27.015233993530273,681.7276611328125,-0.2226264774799347,-28.81416893005371,684.3548583984375,0.6293808817863464,0.589467465877533,0.569694459438324,0.5053152441978455,0.5960500240325928,0.5699225068092346,1,1,-130.1118927001953,224.85787963867188,73.7957534790039,-118.91781616210938
929731692,1,1,-59.300689697265625,-27.001428604125977,681.557861328125,-0.1144828200340271,-28.93016242980957,684.237548828125,0.6291157007217407,0.5894517302513123,0.5693308115005493,0.5050925016403198,0.5963900089263916,0.5696977376937866,1,1,-129.55636596679688,225.78382873535156,74.13272094726562,-120.18402862548828
929742795,1,1,-59.330718994140625,-26.98514747619629,681.6273803710938,-0.07708112895488739,-29.071395874023438,684.2742309570312,0.629165530204773,0.5893977880477905,0.569473147392273,0.5050177574157715,0.5967799425125122,0.5697829723358154,1,1,-125.64164733886719,221.5335235595703,72.58573150634766,-119.7418441772461
929753898,1,1,-59.351741790771484,-27.055805206298828,681.7631225585938,-0.1027878075838089,-29.22108268737793,684.4222412109375,0.6291864514350891,0.5895799398422241,0.5697526931762695,0.5050747990608215,0.5971782207489014,0.5700915455818176,1,1,-126.96743774414062,223.83773803710938,73.42438507080078,-116.79354858398438
929765001,1,1,-59.40821075439453,-27.12384033203125,681.9395751953125,-0.17056038975715637,-29.38421058654785,684.6121826171875,0.6292741298675537,0.5897491574287415,0.5701191425323486,0.5052198767662048,0.5976073145866394,0.57048499584198,1,1,-127.65513610839844,223.7260284423828,73.38375091552734,-113.75200653076172
929776104,1,1,-59.424224853515625,-27.22197723388672,682.05517578125,-0.2676146328449249,-29.53194236755371,684.7736206054688,0.6292889714241028,0.5900102853775024,0.5703598856925964,0.5054255127906799,0.5979958772659302,0.5708203315734863,1,1,-132.7292938232422,229.23895263671875,75.39030456542969,-114.73045349121094
929787207,1,1,-59.65102767944336,-27.284500122070312,682.2078247070312,-0.408221036195755,-29.614171981811523,684.8951416015625,0.6297377347946167,0.5901610851287842,0.570708155632019,0.5057204961776733,0.5982056260108948,0.5710704326629639,1,1,-132.0369873046875,230.1079864501953,75.70665740966797,-116.273193359375
929798310,1,1,-59.915950775146484,-27.302165985107422,682.4205932617188,-0.5886116027832031,-29.6611385345459,685.0537109375,0.6302538514137268,0.5901789665222168,0.5711793303489685,0.5060973167419434,0.5983114838600159,0.5713915824890137,1,1,-133.9431915283203,229.57379150390625,75.51219177246094,-115.98503112792969
929809413,1,1,-60.09248733520508,-27.194705963134766,682.4693603515625,-0.8126963376998901,-29.652254104614258,685.197509765625,0.6306118369102478,0.5898680686950684,0.5712988376617432,0.5065637230873108,0.5982624292373657,0.5716785788536072,1,1,-129.03305053710938,224.2969512939453,73.59154510498047,-115.93999481201172
929820517,1,1,-60.32201385498047,-27.10540199279785,682.5545654296875,-1.058247685432434,-29.589088439941406,685.3168334960938,0.6310744285583496,0.5896022915840149,0.571501612663269,0.5070734620094299,0.5980648994445801,0.5719122290611267,1,1,-130.06295776367188,223.46287536621094,73.28795623779297,-117.31131744384766
929831620,1,1,-60.59046936035156,-26.996253967285156,682.679443359375,-1.321311593055725,-29.504779815673828,685.4764404296875,0.6316105127334595,0.5892757177352905,0.5717889666557312,0.5076188445091248,0.5978032350540161,0.5722247362136841,1,1,-129.69277954101562,224.8167266845703,73.78071594238281,-119.11381530761719
929842723,1,1,-60.71155548095703,-26.985458374023438,682.756591796875,-1.6279122829437256,-29.396272659301758,685.6364135742188,0.6318493485450745,0.5892335176467896,0.5719631314277649,0.5082540512084961,0.59747314453125,0.5725365281105042,1,1,-135.045654296875,230.45567321777344,75.8331527709961,-117.54191589355469
929853826,1,1,-61.171810150146484,-26.79460334777832,682.9602661132812,-1.9210745096206665,-29.299013137817383,685.802734375,0.6327697038650513,0.5886646509170532,0.5724353194236755,0.5088611841201782,0.5971741080284119,0.572861909866333,1,1,-135.55258178710938,231.85595703125,76.3427734375,-118.9766845703125
929864929,1,1,-61.67146682739258,-26.623291015625,683.3533935546875,-2.2294814586639404,-29.23878288269043,686.09033203125,0.6337364315986633,0.5881294012069702,0.573293924331665,0.5094997882843018,0.596963107585907,0.5734333395957947,1,1,-134.88986206054688,234.14808654785156,77.1770248413086,-119.14842987060547
929876032,1,1,-61.67146682739258,-26.623291015625,683.3533935546875,-2.545727252960205,-29.162294387817383,686.3494262695312,0.6337364315986633,0.5881294012069702,0.573293924331665,0.5101539492607117,0.5967103838920593,0.5739467740058899,1,1,-134.88986206054688,234.14808654785156,77.1770248413086,-119.10054779052734
929887135,1,1,-62.196285247802734,-26.45474624633789,683.753662109375,-2.8908450603485107,-29.0798397064209,686.6470947265625,0.634753406047821,0.5876009464263916,0.5741721391677856,0.510867178440094,0.5964358448982239,0.5745372176170349,1,1,-132.84471130371094,234.44117736816406,77.28370666503906,-116.06430053710938
929898238,1,1,-62.7269401550293,-26.29572105407715,684.1030883789062,-3.2412638664245605,-28.94133949279785,686.9152221679688,0.6357914209365845,0.5871046781539917,0.5749518871307373,0.5115898251533508,0.5960094928741455,0.5750645995140076,1,1,-133.56663513183594,235.76451110839844,77.7654037475586,-113.81755828857422
