device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
686295739,1,1,-21.481176376342773,58.351139068603516,616.825927734375,45.06684494018555,58.35972213745117,615.5371704101562,0.552310585975647,0.3351046144962311,0.4399040639400482,0.39816397428512573,0.3371560573577881,0.43987560272216797,1,1,116.4608154296875,85.43417358398438,23.049640655517578,102.99962615966797
686306842,1,1,-21.52873992919922,58.301246643066406,616.92236328125,45.03533935546875,58.31059265136719,615.6383666992188,0.5524144768714905,0.335284948348999,0.4400898516178131,0.3982556164264679,0.3373359143733978,0.4400627315044403,1,1,117.268798828125,86.26323699951172,23.351411819458008,102.19342041015625
686317945,1,1,-21.537799835205078,58.253177642822266,616.9963989257812,45.0036735534668,58.26695251464844,615.7108764648438,0.5524308681488037,0.33545443415641785,0.44022876024246216,0.3983425199985504,0.3374904990196228,0.4401939809322357,1,1,117.816650390625,84.1915512084961,22.597370147705078,103.18238830566406
686329048,1,1,-21.52444076538086,58.204524993896484,617.0466918945312,44.956783294677734,58.20455551147461,615.7652587890625,0.5523973703384399,0.33561956882476807,0.44031885266304016,0.3984620273113251,0.3376971483230591,0.4402834475040436,1,1,119.15388488769531,74.09476470947266,18.92244529724121,103.33533477783203
686340151,1,1,-21.48701286315918,58.10238265991211,617.1860961914062,44.8471794128418,58.103187561035156,615.9144897460938,0.5523027181625366,0.3359764516353607,0.4405744671821594,0.39874398708343506,0.33804911375045776,0.4405449330806732,1,1,120.72000885009766,54.569732666015625,11.815886497497559,105.10818481445312
686351255,1,1,-21.486679077148438,58.09376907348633,617.2619018554688,44.8160514831543,58.085044860839844,615.9913940429688,0.5522962212562561,0.33602508902549744,0.44072362780570984,0.3988296687602997,0.33812615275382996,0.44068968296051025,1,1,119.94441986083984,45.96158218383789,8.682769775390625,104.5845947265625
686362358,1,1,-21.509414672851562,58.11235809326172,617.3441162109375,44.80191421508789,58.10390090942383,616.0728759765625,0.552341878414154,0.33599093556404114,0.4408923387527466,0.39887580275535583,0.3380909264087677,0.4408530294895172,1,1,118.3175277709961,44.36467742919922,8.10155200958252,105.85066223144531
686373461,1,1,-21.561269760131836,58.16618728637695,617.47216796875,44.8049201965332,58.16606140136719,616.2026977539062,0.5524503588676453,0.3358605206012726,0.4411608874797821,0.398889422416687,0.33793672919273376,0.4411229193210602,1,1,118.01338958740234,45.19245529174805,8.402876853942871,107.18231201171875
686384564,1,1,-21.57892608642578,58.196956634521484,617.54443359375,44.80618667602539,58.211727142333984,616.2703247070312,0.5524846911430359,0.3357861340045929,0.44131165742874146,0.39889687299728394,0.33781540393829346,0.4412660002708435,1,1,117.9989013671875,46.32748031616211,8.815997123718262,107.6552505493164
686395667,1,1,-21.590490341186523,58.237117767333984,617.57666015625,44.79789352416992,58.26600646972656,616.3030395507812,0.5525078177452087,0.33567145466804504,0.4413841664791107,0.3989202380180359,0.33765709400177,0.44133996963500977,1,1,116.99803924560547,45.788978576660156,8.620006561279297,108.02713012695312
686406770,1,1,-21.623249053955078,58.30426025390625,617.5908813476562,44.787025451660156,58.3538703918457,616.3192138671875,0.5525805354118347,0.3354675769805908,0.4414272606372833,0.3989458978176117,0.3373904228210449,0.4413870871067047,1,1,116.57160186767578,45.595096588134766,8.549402236938477,107.65103912353516
686417873,1,1,-21.647586822509766,58.32194137573242,617.55029296875,44.77580642700195,58.37746810913086,616.2830810546875,0.5526395440101624,0.33540040254592896,0.4413515627384186,0.398965060710907,0.3373067080974579,0.4413181245326996,1,1,117.63313293457031,45.83222961425781,8.635698318481445,108.41685485839844
686428976,1,1,-21.65946388244629,58.32374954223633,617.5409545898438,44.75559997558594,58.392818450927734,616.2752685546875,0.5526676774024963,0.335391640663147,0.4413340985774994,0.3990101218223572,0.3372563421726227,0.44130247831344604,1,1,117.27146911621094,46.29683303833008,8.80478572845459,109.72480010986328
686440080,1,1,-21.695337295532227,58.32062530517578,617.5740966796875,44.739776611328125,58.39700698852539,616.3130493164062,0.5527480840682983,0.33540964126586914,0.44140198826789856,0.39905303716659546,0.33725377917289734,0.44137609004974365,1,1,117.94456481933594,45.93831253051758,8.674299240112305,109.78598022460938
686451183,1,1,-21.70240592956543,58.31888198852539,617.6385498046875,44.7388801574707,58.40081787109375,616.3757934570312,0.5527594089508057,0.33543357253074646,0.4415305256843567,0.3990657329559326,0.3372601866722107,0.4415012300014496,1,1,116.52591705322266,44.99251937866211,8.330077171325684,108.22687530517578
686462286,1,1,-21.715946197509766,58.30990982055664,617.648681640625,44.742950439453125,58.40008544921875,616.386962890625,0.5527901649475098,0.33546367287635803,0.4415499269962311,0.3990582227706909,0.33726581931114197,0.44152379035949707,1,1,116.50215911865234,44.88310241699219,8.290262222290039,107.68595123291016
686473389,1,1,-21.725183486938477,58.29412841796875,617.6331176757812,44.75181198120117,58.39238357543945,616.3721313476562,0.5528131127357483,0.3355073630809784,0.44151660799980164,0.39903542399406433,0.3372856080532074,0.44149425625801086,1,1,116.16036224365234,45.35013198852539,8.4602632522583,106.48103332519531
686484492,1,1,-21.728313446044922,58.275814056396484,617.5879516601562,44.75301742553711,58.37879943847656,616.32861328125,0.5528244376182556,0.3355504870414734,0.4414234757423401,0.3990255296230316,0.3373149335384369,0.4414055049419403,1,1,116.4588394165039,46.229347229003906,8.780261039733887,106.04759979248047
