type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
saccade,1232.447,1287.963,55.516000000000076,6,"[37.848434972350915, 37.848434972350915, 29.755746569325566, 27.866261300944625, 26.002343411415385, 27.482521042214255]","[[0.7146756052970886, 0.0691363140940666], [0.7146756052970886, 0.0691363140940666], [0.7128791809082031, 0.0692423656582832], [0.7106733918190002, 0.0673291385173797], [0.7099223732948303, 0.0643568038940429], [0.7108820080757141, 0.063124768435955]]","[[0.7073318362236023, 0.1186576783657074], [0.7073318362236023, 0.1186576783657074], [0.7064595818519592, 0.1122602894902229], [0.7034276723861694, 0.1111672818660736], [0.7011690735816956, 0.1151071637868881], [0.7018759846687317, 0.1155590564012527]]"
saccade,1299.066,1365.684,66.61799999999994,7,"[22.73054248998999, 22.73054248998999, 24.305681261137742, 22.940079171774084, 24.438435102654434, 42.715634431431646, 54.602888254127386]","[[0.7145373225212097, 0.061475783586502], [0.7145373225212097, 0.061475783586502], [0.7188946604728699, 0.0631448626518249], [0.732546865940094, 0.0576701685786247], [0.7473947405815125, 0.0577430576086044], [0.7625631093978882, 0.0538531690835952], [0.7629806399345398, 0.0561125054955482]]","[[0.7025118470191956, 0.1160392686724662], [0.7025118470191956, 0.1160392686724662], [0.7005369663238525, 0.1180568784475326], [0.7056888937950134, 0.1140568852424621], [0.7222656011581421, 0.1181462034583091], [0.744234025478363, 0.1090904399752616], [0.7541283965110779, 0.1107384040951728]]"
fixation,1376.788,1387.891,11.103000000000065,2,"[10.201242546257326, 10.201242546257326]","[[0.7632672190666199, 0.0494006052613258], [0.7632672190666199, 0.0494006052613258]]","[[0.7550322413444519, 0.1025968939065933], [0.7550322413444519, 0.1025968939065933]]"
saccade,1398.994,1454.509,55.5150000000001,6,"[31.565663233657975, 31.565663233657975, 38.68728944606008, 24.86869199310291, 33.423776276868416, 30.96741077579385]","[[0.7635021805763245, 0.0491141527891159], [0.7635021805763245, 0.0491141527891159], [0.7656774520874023, 0.0511971861124038], [0.7674064040184021, 0.0495718792080879], [0.7634000778198242, 0.0460661426186561], [0.7627052664756775, 0.0422741323709487]]","[[0.7528323531150818, 0.0986943542957305], [0.7528323531150818, 0.0986943542957305], [0.7526363134384155, 0.1048508882522583], [0.7526699304580688, 0.1051895022392273], [0.7510431408882141, 0.1053870022296905], [0.7528591156005859, 0.1034366935491561]]"
fixation,1465.613,1476.716,11.102999999999838,2,"[10.318735061421666, 10.318735061421666]","[[0.7677857279777527, 0.0398282557725906], [0.7677857279777527, 0.0398282557725906]]","[[0.7519793510437012, 0.1109383627772331], [0.7519793510437012, 0.1109383627772331]]"
saccade,1487.819,1498.922,11.103000000000065,2,"[38.655083123299875, 38.655083123299875]","[[0.7660998702049255, 0.0453529395163059], [0.7660998702049255, 0.0453529395163059]]","[[0.7509973049163818, 0.104134477674961], [0.7509973049163818, 0.104134477674961]]"
saccade,1510.025,1543.334,33.30899999999997,4,"[27.65702502999369, 27.65702502999369, 31.025693595173834, 20.363904436923047]","[[0.7628788948059082, 0.047321293503046], [0.7628788948059082, 0.047321293503046], [0.7646178007125854, 0.0468293987214565], [0.7651264667510986, 0.0485931225121021]]","[[0.7535055875778198, 0.1013078168034553], [0.7535055875778198, 0.1013078168034553], [0.7527425289154053, 0.0987223088741302], [0.7522220611572266, 0.1023531556129455]]"
fixation,1554.438,1565.541,11.102999999999838,2,"[13.285547771972963, 13.285547771972963]","[[0.7671903371810913, 0.0430473238229751], [0.7671903371810913, 0.0430473238229751]]","[[0.752899706363678, 0.1108211725950241], [0.752899706363678, 0.1108211725950241]]"
saccade,1576.644,1587.747,11.103000000000065,2,"[29.150428186629796, 29.150428186629796]","[[0.7628904581069946, 0.0410623922944068], [0.7628904581069946, 0.0410623922944068]]","[[0.7501744627952576, 0.1169839426875114], [0.7501744627952576, 0.1169839426875114]]"
fixation,1598.85,1632.159,33.3090000000002,4,"[13.95486316094501, 13.95486316094501, 7.177719605345314, 15.534267252124687]","[[0.7647349834442139, 0.048104889690876], [0.7647349834442139, 0.048104889690876], [0.7655937075614929, 0.0486350730061531], [0.7672145962715149, 0.0456071645021438]]","[[0.7491137385368347, 0.1098323315382003], [0.7491137385368347, 0.1098323315382003], [0.7521724104881287, 0.1101186200976371], [0.7529204487800598, 0.1122393757104873]]"
