type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,1820.912,2087.387,266.47500000000014,25,"[2.2227714908564202, 2.2227714908564202, 4.441318880586511, 2.510054117322261, 6.55645828128373, 11.663884835952036, 4.3677061717918635, 8.642018972824665, 12.482855680176517, 2.770140996820216, 10.815222310191444, 1.5991503084498209, 1.0379506150501223, 2.069422160454749, 2.657029260369289, 1.707542066051058, 6.282389224567209, 6.359189652606577, 0.9807903183711889, 7.773189813764791, 1.1446814428243608, 2.1568191209190135, 10.498262477665222, 6.142319016279239, 9.007627262334537]","[[0.4207322895526886, 0.3645365238189697], [0.4207322895526886, 0.3645365238189697], [0.420433759689331, 0.3618645370006561], [0.4206149578094482, 0.3607178032398224], [0.4211008846759796, 0.3604763746261596], [0.4209509789943695, 0.3640430569648742], [0.4216479361057281, 0.3640714585781097], [0.4202243685722351, 0.3648273050785064], [0.4207170903682709, 0.3634515702724457], [0.4214333891868591, 0.3636209070682525], [0.4234163165092468, 0.3664245903491974], [0.4250560700893402, 0.3673256039619446], [0.4248392581939697, 0.3678146600723266], [0.4259136617183685, 0.3656953871250152], [0.4267107546329498, 0.3654095828533172], [0.4258274137973785, 0.3648413419723511], [0.4250155389308929, 0.3657335937023163], [0.4254528284072876, 0.3643831610679626], [0.4261775314807892, 0.3636597394943237], [0.4255183041095733, 0.3629506230354309], [0.4234565496444702, 0.3623914420604706], [0.4263161122798919, 0.3689068257808685], [0.4357694685459137, 0.384305864572525], [0.4461148977279663, 0.4089201688766479], [0.4461029171943664, 0.4105542302131653]]","[[0.423140287399292, 0.3975982367992401], [0.423140287399292, 0.3975982367992401], [0.4234937131404876, 0.3969301879405975], [0.4232469499111175, 0.3985767364501953], [0.4226058721542358, 0.3966136872768402], [0.4221960306167602, 0.3972724974155426], [0.4224832653999328, 0.3963687717914581], [0.4226592481136322, 0.3992345035076141], [0.4221871197223663, 0.3999199569225311], [0.4243286550045013, 0.4020145237445831], [0.4253661334514618, 0.4010922312736511], [0.4269964396953583, 0.4009547233581543], [0.4264907240867615, 0.3989276587963104], [0.4263502955436706, 0.4016208350658417], [0.4271768927574157, 0.4012779891490936], [0.4277882575988769, 0.400653213262558], [0.4282866716384887, 0.3971195518970489], [0.4283634722232818, 0.396226167678833], [0.4284216463565826, 0.396820068359375], [0.4290066659450531, 0.3982254564762115], [0.4272746741771698, 0.3990350365638733], [0.4322271347045898, 0.4128924310207367], [0.437985897064209, 0.4286967515945434], [0.4456990957260132, 0.4500713348388672], [0.4451934099197387, 0.4492978155612945]]"
saccade,2098.49,2109.594,11.10400000000027,2,"[34.83720005512479, 34.83720005512479]","[[0.4460584819316864, 0.4116638600826263], [0.4460584819316864, 0.4116638600826263]]","[[0.4441677629947662, 0.4491126537322998], [0.4441677629947662, 0.4491126537322998]]"
fixation,2120.697,2220.625,99.92799999999988,10,"[8.178487538499311, 8.178487538499311, 17.13348630614146, 8.710486032150609, 19.57628819659218, 14.258077241351266, 1.41752116145074, 11.302664496574453, 18.10056804664124, 10.749556210292806]","[[0.4450698792934418, 0.4055115580558777], [0.4450698792934418, 0.4055115580558777], [0.4445019364356994, 0.4042355716228485], [0.4431823492050171, 0.4048449695110321], [0.4455555081367492, 0.4068597853183746], [0.4448059499263763, 0.408521831035614], [0.4455458223819732, 0.40910205245018], [0.4451229274272918, 0.4149172604084015], [0.4443590641021728, 0.4166203141212463], [0.4483776390552521, 0.4129058420658111]]","[[0.4447438418865204, 0.447573721408844], [0.4447438418865204, 0.447573721408844], [0.4440054595470428, 0.4459906816482544], [0.4423668980598449, 0.4467883110046386], [0.4437746107578277, 0.4497056901454925], [0.4450103640556335, 0.4494616091251373], [0.4450365006923675, 0.4500609934329986], [0.4443690478801727, 0.4500482678413391], [0.4440970420837402, 0.4508041739463806], [0.4535648226737976, 0.4486784636974334]]"
saccade,2231.728,3119.978,888.25,3,"[33.59563572317865, 33.59563572317865, 23.201040761475756]","[[0.5232205390930176, 0.3223431706428528], [0.5232205390930176, 0.3223431706428528], [0.5460920333862305, 0.2965383231639862]]","[[0.5162059664726257, 0.3967264592647552], [0.5162059664726257, 0.3967264592647552], [0.5621790885925293, 0.352930873632431]]"
saccade,3131.081,3197.7,66.61899999999969,7,"[74.4864821043179, 74.4864821043179, 31.14967572304326, 35.827865820495596, 22.56689397060596, 41.967572849723865, 150.8926119879494]","[[0.7695081830024719, 0.2315219640731811], [0.7695081830024719, 0.2315219640731811], [0.6966173052787781, 0.3672367036342621], [0.6542420983314514, 0.4282551407814026], [0.6029792428016663, 0.5080662369728088], [0.5694500803947449, 0.5512241721153259], [0.5442895889282227, 0.5865013599395752]]","[[0.7557948231697083, 0.3076869249343872], [0.7557948231697083, 0.3076869249343872], [0.7197386026382446, 0.3650873005390167], [0.6477248072624207, 0.4814367890357971], [0.5864476561546326, 0.5734819173812866], [0.556770384311676, 0.6140000224113464], [0.5458555817604065, 0.6239688396453857]]"
saccade,3208.803,3231.009,22.20600000000013,3,"[28.595707733896056, 28.595707733896056, 119.29962998539514]","[[0.5427455902099609, 0.587920606136322], [0.5427455902099609, 0.587920606136322], [0.5440139174461365, 0.5939395427703857]]","[[0.5458934903144836, 0.6290225386619568], [0.5458934903144836, 0.6290225386619568], [0.5454602837562561, 0.6328474879264832]]"
saccade,3242.112,3264.319,22.20699999999988,3,"[23.886924545034912, 23.886924545034912, 23.922728115345283]","[[0.5448450446128845, 0.5911617875099182], [0.5448450446128845, 0.5911617875099182], [0.5432130098342896, 0.5923915505409241]]","[[0.544581413269043, 0.6312252879142761], [0.544581413269043, 0.6312252879142761], [0.5441368222236633, 0.628424882888794]]"
fixation,3275.422,3286.525,11.103000000000065,2,"[13.740986990913507, 13.740986990913507]","[[0.5413911938667297, 0.5926122069358826], [0.5413911938667297, 0.5926122069358826]]","[[0.5447998642921448, 0.6316900849342346], [0.5447998642921448, 0.6316900849342346]]"
fixation,3297.628,3319.834,22.205999999999676,3,"[0.0, 0.0, 13.50316775971364]","[[0.5422583222389221, 0.5857821702957153], [0.5422583222389221, 0.5857821702957153], [0.5433596968650818, 0.5863686800003052]]","[[0.5456341505050659, 0.6299677491188049], [0.5456341505050659, 0.6299677491188049], [0.5444913506507874, 0.6278279423713684]]"
fixation,3330.937,3797.269,466.3319999999999,43,"[0.0, 0.0, 5.187696720021512, 7.317763266555204, 4.460331638643875, 2.2289672928255517, 8.512894562666526, 5.213840412057231, 3.2744041998769546, 10.899088355093735, 9.116419145013609, 2.9209943859040948, 5.518984877652015, 6.827875615832088, 1.5914718354288828, 3.657620562904198, 4.753441443810303, 1.9498475416321612, 12.85263547682778, 4.545895799545451, 0.7610943671114389, 7.443952106574063, 5.278681516042463, 2.745499663806848, 5.3781077392630525, 7.096973590674469, 2.260960593844125, 2.871053804076877, 2.7384321485102667, 2.823175219375479, 7.685803896860312, 10.477155670321904, 5.143460504846378, 5.364626559921273, 15.985572647415786, 3.538116307022564, 4.5146982414081505, 3.1944361916109774, 0.9150322977859469, 1.6823353104556256, 9.638766197962116, 6.913079523274329, 7.779832387148151]","[[0.5441864728927612, 0.5899965763092041], [0.5441864728927612, 0.5899965763092041], [0.5427411198616028, 0.5877413153648376], [0.541813313961029, 0.581536054611206], [0.54220050573349, 0.5846937894821167], [0.5431692004203796, 0.5853689312934875], [0.5431655049324036, 0.588726282119751], [0.5437904000282288, 0.5916191339492798], [0.5441121459007263, 0.593950092792511], [0.5447725057601929, 0.5893646478652954], [0.5443453192710876, 0.5890405774116516], [0.5446680188179016, 0.5858645439147949], [0.5443500280380249, 0.5879937410354614], [0.5439139008522034, 0.5858598351478577], [0.542495608329773, 0.5877385139465332], [0.5428082942962646, 0.5905360579490662], [0.5448721647262573, 0.5940797328948975], [0.5462745428085327, 0.5944664478302002], [0.5487768650054932, 0.5948034524917603], [0.5487967133522034, 0.5936369299888611], [0.5496915578842163, 0.5919551253318787], [0.5498116612434387, 0.5924789309501648], [0.5518592596054077, 0.5953207612037659], [0.5513184070587158, 0.5964529514312744], [0.5505156517028809, 0.5955543518066406], [0.54845130443573, 0.5930021405220032], [0.5487586855888367, 0.5963912010192871], [0.5497097373008728, 0.598242461681366], [0.550129234790802, 0.6001197099685669], [0.5502001643180847, 0.5984110832214355], [0.5490446090698242, 0.5972927808761597], [0.5502726435661316, 0.5959821343421936], [0.5503013730049133, 0.5943287014961243], [0.5503998398780823, 0.5981130003929138], [0.5516788363456726, 0.5982251763343811], [0.5506522059440613, 0.5999051332473755], [0.5504289865493774, 0.595504641532898], [0.549767255783081, 0.5937005877494812], [0.5502523183822632, 0.5942328572273254], [0.5512228608131409, 0.5945554375648499], [0.5547472238540649, 0.5956035256385803], [0.5574512481689453, 0.5938226580619812], [0.5622838139533997, 0.5967684388160706]]","[[0.5424475073814392, 0.626848578453064], [0.5424475073814392, 0.626848578453064], [0.5418174266815186, 0.6243895292282104], [0.5409711599349976, 0.6262504458427429], [0.5421156287193298, 0.6229064464569092], [0.5431742072105408, 0.6217580437660217], [0.5428398847579956, 0.6212142705917358], [0.5425800681114197, 0.6212851405143738], [0.5416167378425598, 0.624102771282196], [0.5424321293830872, 0.6265625357627869], [0.5426152348518372, 0.627900242805481], [0.5436631441116333, 0.626914918422699], [0.5442179441452026, 0.625063419342041], [0.5449943542480469, 0.6261783242225647], [0.5452888607978821, 0.6278539896011353], [0.5460793375968933, 0.6311155557632446], [0.5486249923706055, 0.6359868049621582], [0.5506025552749634, 0.6341490149497986], [0.5499017238616943, 0.6348483562469482], [0.5483019351959229, 0.6331178545951843], [0.5475854873657227, 0.6353834271430969], [0.5485470294952393, 0.6352190375328064], [0.5488396883010864, 0.6361738443374634], [0.5491764545440674, 0.6377775073051453], [0.5505402684211731, 0.6398410797119141], [0.5501697659492493, 0.6379292607307434], [0.5503801703453064, 0.639057993888855], [0.5496746301651001, 0.6373043060302734], [0.549992024898529, 0.6370184421539307], [0.5492680668830872, 0.6354933381080627], [0.5490837097167969, 0.6385994553565979], [0.5481774210929871, 0.6403557658195496], [0.5477859973907471, 0.6405662298202515], [0.5467659831047058, 0.6406509280204773], [0.5475214719772339, 0.6418567299842834], [0.5481916069984436, 0.6447542905807495], [0.548438310623169, 0.6391956210136414], [0.5485193729400635, 0.6384098529815674], [0.5489373803138733, 0.6364060640335083], [0.549166202545166, 0.6388221383094788], [0.5528552532196045, 0.6377334594726562], [0.5543789267539978, 0.6370054483413696], [0.5590629577636719, 0.6356541514396667]]"
