type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,11.103,11.103,2,"[0.0, 0.0]","[[0.693297803401947, 0.2934359610080719], [0.693297803401947, 0.2934359610080719]]","[[0.6081584095954895, 0.4163656830787658], [0.6081584095954895, 0.4163656830787658]]"
saccade,22.206,33.309,11.102999999999998,2,"[115.57052479225854, 115.57052479225854]","[[0.5281742811203003, 0.4908202588558197], [0.5281742811203003, 0.4908202588558197]]","[[0.5369300842285156, 0.4816560745239258], [0.5369300842285156, 0.4816560745239258]]"
saccade,44.412,88.825,44.413000000000004,5,"[96.03222613560288, 96.03222613560288, 108.20459002285187, 31.187249847337398, 38.65020274330116]","[[0.4682590067386627, 0.5615942478179932], [0.4682590067386627, 0.5615942478179932], [0.4598629176616668, 0.5761448740959167], [0.4603864550590515, 0.5715222954750061], [0.461978554725647, 0.5752410292625427]]","[[0.4784944653511047, 0.5478765964508057], [0.4784944653511047, 0.5478765964508057], [0.4656850099563598, 0.5670581459999084], [0.4666255712509155, 0.5743685960769653], [0.46397864818573, 0.5850207805633545]]"
saccade,99.928,111.031,11.103000000000009,2,"[23.886154065959218, 23.886154065959218]","[[0.4667187333106994, 0.5805644989013672], [0.4667187333106994, 0.5805644989013672]]","[[0.4683290421962738, 0.5941795706748962], [0.4683290421962738, 0.5941795706748962]]"
saccade,122.134,133.237,11.102999999999994,2,"[22.033062251249042, 22.033062251249042]","[[0.4624159038066864, 0.5869126915931702], [0.4624159038066864, 0.5869126915931702]]","[[0.4671514630317688, 0.5925664305686951], [0.4671514630317688, 0.5925664305686951]]"
fixation,144.34,188.753,44.41299999999998,5,"[4.638208493785135, 4.638208493785135, 10.83761241353853, 11.4846068564128, 17.864438521530428]","[[0.4640310704708099, 0.5840990543365479], [0.4640310704708099, 0.5840990543365479], [0.4652082026004791, 0.5874337553977966], [0.46171835064888, 0.5830566883087158], [0.4577009975910187, 0.5861579179763794]]","[[0.4622836112976074, 0.5875216722488403], [0.4622836112976074, 0.5875216722488403], [0.4620913863182068, 0.5923917293548584], [0.4611892700195312, 0.5908443331718445], [0.460568904876709, 0.5930352210998535]]"
fixation,199.856,255.372,55.51600000000002,6,"[12.611962466180753, 12.611962466180753, 9.488284574080682, 16.814899506655042, 12.210382935428335, 10.531223469524063]","[[0.4559381008148193, 0.5901721715927124], [0.4559381008148193, 0.5901721715927124], [0.4576408267021179, 0.5870457887649536], [0.4610029458999634, 0.5900641083717346], [0.4601475894451141, 0.5925047993659973], [0.4588131308555603, 0.5912160277366638]]","[[0.462163895368576, 0.592741072177887], [0.462163895368576, 0.592741072177887], [0.4614033997058868, 0.5958248972892761], [0.4612556397914886, 0.5969687104225159], [0.4609556794166565, 0.598210871219635], [0.4609784185886383, 0.5993686318397522]]"
fixation,266.475,288.681,22.20599999999996,3,"[17.739810133046827, 17.739810133046827, 11.022068038124521]","[[0.4586810767650604, 0.5868571996688843], [0.4586810767650604, 0.5868571996688843], [0.4587226510047912, 0.5870906114578247]]","[[0.4590633511543274, 0.6020668148994446], [0.4590633511543274, 0.6020668148994446], [0.4548037946224212, 0.5990883708000183]]"
saccade,299.784,333.094,33.31,4,"[25.637263532571748, 25.637263532571748, 23.40662438992137, 61.29693470235433]","[[0.4552639722824096, 0.5353525280952454], [0.4552639722824096, 0.5353525280952454], [0.456554114818573, 0.5133581161499023], [0.4590413570404053, 0.5102242827415466]]","[[0.453712522983551, 0.5247384309768677], [0.453712522983551, 0.5247384309768677], [0.455609381198883, 0.499853104352951], [0.4545793235301971, 0.4926566481590271]]"
fixation,344.197,388.609,44.41199999999998,5,"[4.071913031776926, 4.071913031776926, 17.628167353927832, 15.408464439859502, 13.873350079807542]","[[0.4558539688587188, 0.5107851624488831], [0.4558539688587188, 0.5107851624488831], [0.453976571559906, 0.5059863328933716], [0.4549540877342224, 0.5064061880111694], [0.4543849229812622, 0.5060107707977295]]","[[0.4565597772598266, 0.494304209947586], [0.4565597772598266, 0.494304209947586], [0.4564569592475891, 0.4944178462028503], [0.4559486210346222, 0.4928903579711914], [0.4571606814861297, 0.4931494891643524]]"
