type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
saccade,588.466,688.394,99.928,10,"[30.460572331402346, 30.460572331402346, 47.143994870631076, 49.86529620380508, 54.02154321147234, 60.12095280420634, 28.846121815686917, 52.31265873889201, 25.169857711568316, 51.69578634179475]","[[0.7090674638748169, 0.5889776945114136], [0.7090674638748169, 0.5889776945114136], [0.7093180418014526, 0.5893003344535828], [0.7083640098571777, 0.5880807638168335], [0.70600825548172, 0.5896381735801697], [0.7043179869651794, 0.5910431146621704], [0.7044081687927246, 0.5936288237571716], [0.6985682249069214, 0.6007083058357239], [0.6574966311454773, 0.6297551989555359], [0.5989448428153992, 0.6625611186027527]]","[[0.7277966737747192, 0.6076833009719849], [0.7277966737747192, 0.6076833009719849], [0.7323117256164551, 0.6027731895446777], [0.7351899743080139, 0.6014671325683594], [0.7344864010810852, 0.6045880913734436], [0.7317119240760803, 0.6005851626396179], [0.7282726168632507, 0.600530207157135], [0.7225005030632019, 0.602168619632721], [0.6870251893997192, 0.6308161616325378], [0.6444405317306519, 0.6555095911026001]]"
saccade,699.497,766.116,66.61900000000003,7,"[21.425239556119042, 21.425239556119042, 93.60960991288715, 42.24117129426051, 25.313679367782502, 26.07243955349193, 44.0126352387791]","[[0.523130476474762, 0.7181599140167236], [0.523130476474762, 0.7181599140167236], [0.5229612588882446, 0.7240651845932007], [0.5153286457061768, 0.7261168360710144], [0.5146031975746155, 0.7300585508346558], [0.5167847275733948, 0.7245401740074158], [0.5165917277336121, 0.7204066514968872]]","[[0.5524387955665588, 0.7182714939117432], [0.5524387955665588, 0.7182714939117432], [0.5509454011917114, 0.7243350148200989], [0.5495724678039551, 0.7212578654289246], [0.5454100966453552, 0.7285670638084412], [0.5486204624176025, 0.7309665679931641], [0.5420082211494446, 0.7254002094268799]]"
fixation,777.219,810.528,33.30899999999997,4,"[7.301026097826782, 7.301026097826782, 9.493868314263041, 18.114595985769384]","[[0.5165595412254333, 0.7278121113777161], [0.5165595412254333, 0.7278121113777161], [0.5147108435630798, 0.7337292432785034], [0.5154480934143066, 0.7340692281723022]]","[[0.5441343784332275, 0.7238061428070068], [0.5441343784332275, 0.7238061428070068], [0.5488502383232117, 0.7271354794502258], [0.5482906699180603, 0.7267531156539917]]"
saccade,821.631,843.838,22.206999999999994,3,"[27.30066735645876, 27.30066735645876, 29.89242898083978]","[[0.5192617774009705, 0.7346892952919006], [0.5192617774009705, 0.7346892952919006], [0.5185077786445618, 0.7345325946807861]]","[[0.5425679683685303, 0.7288585305213928], [0.5425679683685303, 0.7288585305213928], [0.5394118428230286, 0.7269830107688904]]"
saccade,854.941,866.044,11.102999999999952,2,"[43.14538650927557, 43.14538650927557]","[[0.5161522030830383, 0.730742335319519], [0.5161522030830383, 0.730742335319519]]","[[0.5416821241378784, 0.7278252840042114], [0.5416821241378784, 0.7278252840042114]]"
fixation,877.147,899.353,22.205999999999904,3,"[13.640414510573333, 13.640414510573333, 10.144403437479202]","[[0.5202350616455078, 0.7254161238670349], [0.5202350616455078, 0.7254161238670349], [0.5186505317687988, 0.7310494184494019]]","[[0.5452640652656555, 0.7301400899887085], [0.5452640652656555, 0.7301400899887085], [0.5446851849555969, 0.7295860052108765]]"
saccade,910.456,921.56,11.103999999999928,2,"[26.979563264877566, 26.979563264877566]","[[0.517521858215332, 0.7282092571258545], [0.517521858215332, 0.7282092571258545]]","[[0.5438390970230103, 0.7243838310241699], [0.5438390970230103, 0.7243838310241699]]"
saccade,932.663,1010.385,77.72199999999998,8,"[30.86023978623508, 30.86023978623508, 30.52004182941439, 31.363698492956466, 48.63365648303229, 54.220346320027446, 84.59908134117772, 63.82392095413249]","[[0.5206007957458496, 0.7208802103996277], [0.5206007957458496, 0.7208802103996277], [0.5193642377853394, 0.7244728207588196], [0.5272253751754761, 0.7357819676399231], [0.5504012703895569, 0.7819089293479919], [0.5598202347755432, 0.8000115752220154], [0.561704695224762, 0.8067696690559387], [0.5542938709259033, 0.7980025410652161]]","[[0.5470505952835083, 0.7231070399284363], [0.5470505952835083, 0.7231070399284363], [0.5464865565299988, 0.7254000306129456], [0.5513098239898682, 0.7418844103813171], [0.5674594640731812, 0.7872508764266968], [0.575238049030304, 0.7952628135681152], [0.5842989683151245, 0.8079904317855835], [0.5818292498588562, 0.7960336804389954]]"
saccade,1021.488,1165.828,144.33999999999992,14,"[23.502980654806134, 23.502980654806134, 33.47774238681955, 43.69597378609008, 35.290507716755975, 60.72631558781528, 57.08373061850494, 57.92375185408125, 78.25646253971615, 49.97742964684367, 70.92510914495823, 67.29849052095595, 24.438967385221506, 29.350949871138354]","[[0.5575365424156189, 0.8025209307670593], [0.5575365424156189, 0.8025209307670593], [0.5562936067581177, 0.7973788976669312], [0.556895911693573, 0.7960666418075562], [0.5569854378700256, 0.7998803853988647], [0.5557885766029358, 0.79947429895401], [0.5573291182518005, 0.8038405776023865], [0.5546442270278931, 0.8009671568870544], [0.5570303201675415, 0.8034781813621521], [0.5564407706260681, 0.8040981292724609], [0.5611549615859985, 0.8053164482116699], [0.5604395866394043, 0.8086071014404297], [0.562152087688446, 0.8116212487220764], [0.5613729357719421, 0.8126198053359985]]","[[0.5851768851280212, 0.8047497868537903], [0.5851768851280212, 0.8047497868537903], [0.5848923325538635, 0.8082125186920166], [0.5809879302978516, 0.8090227842330933], [0.5736583471298218, 0.8068487048149109], [0.5750259160995483, 0.8092077970504761], [0.5762300491333008, 0.8059051036834717], [0.5833568572998047, 0.809188961982727], [0.5819770097732544, 0.8062888383865356], [0.5825822949409485, 0.8085367679595947], [0.5803191661834717, 0.8090099692344666], [0.5813277363777161, 0.811786413192749], [0.5824053883552551, 0.8135239481925964], [0.5822871923446655, 0.8156933784484863]]"
fixation,1176.931,1188.035,11.104000000000042,2,"[7.962029664188573, 7.962029664188573]","[[0.5613285899162292, 0.8179663419723511], [0.5613285899162292, 0.8179663419723511]]","[[0.5831409692764282, 0.817490816116333], [0.5831409692764282, 0.817490816116333]]"
saccade,1199.138,1210.241,11.103000000000065,2,"[22.670046609724565, 22.670046609724565]","[[0.5629476308822632, 0.812286913394928], [0.5629476308822632, 0.812286913394928]]","[[0.5822950601577759, 0.8106762766838074], [0.5822950601577759, 0.8106762766838074]]"
saccade,1221.344,1232.447,11.102999999999838,2,"[29.77014043999001, 29.77014043999001]","[[0.5634859800338745, 0.8122092485427856], [0.5634859800338745, 0.8122092485427856]]","[[0.5818893313407898, 0.8134638667106628], [0.5818893313407898, 0.8134638667106628]]"
fixation,1243.55,1365.685,122.13499999999999,12,"[16.42313855001632, 16.42313855001632, 8.492364986841439, 18.073346227166628, 16.932180982736355, 19.358634833525528, 18.669285237199425, 6.367835144911403, 11.905024996784542, 11.698482474081995, 17.195362932756463, 18.699098351483332]","[[0.5612567663192749, 0.8083223104476929], [0.5612567663192749, 0.8083223104476929], [0.5591297149658203, 0.8096739053726196], [0.5601973533630371, 0.8075388669967651], [0.5587146282196045, 0.8122243285179138], [0.5613705515861511, 0.8120158910751343], [0.5598079562187195, 0.8127960562705994], [0.5589375495910645, 0.8099182844161987], [0.558039128780365, 0.8063264489173889], [0.5583902597427368, 0.8096580505371094], [0.5595828890800476, 0.8129596710205078], [0.5599220991134644, 0.818717360496521]]","[[0.5825982689857483, 0.8153359293937683], [0.5825982689857483, 0.8153359293937683], [0.578267514705658, 0.8201922178268433], [0.5782884955406189, 0.82469642162323], [0.5785658359527588, 0.8256686329841614], [0.5846137404441833, 0.8175669312477112], [0.5854102969169617, 0.8151995539665222], [0.5857685208320618, 0.816379964351654], [0.5808044672012329, 0.8138763904571533], [0.5814245939254761, 0.8102356791496277], [0.5823686122894287, 0.8114303350448608], [0.5817806124687195, 0.8165923953056335]]"
fixation,1376.788,1387.891,11.103000000000065,2,"[15.029074496367496, 15.029074496367496]","[[0.5598546266555786, 0.8147069215774536], [0.5598546266555786, 0.8147069215774536]]","[[0.5796254277229309, 0.8220810890197754], [0.5796254277229309, 0.8220810890197754]]"
saccade,1398.994,1410.097,11.103000000000065,2,"[28.947721794728228, 28.947721794728228]","[[0.525599479675293, 0.8307116031646729], [0.525599479675293, 0.8307116031646729]]","[[0.5440602898597717, 0.8409174680709839], [0.5440602898597717, 0.8409174680709839]]"
saccade,1421.2,1476.716,55.51599999999985,6,"[66.51145504512976, 66.51145504512976, 100.08427780007595, 60.90558876669147, 54.92986703558782, 64.81009234816602]","[[0.3975226879119873, 0.8603629469871521], [0.3975226879119873, 0.8603629469871521], [0.3062268793582916, 0.892490029335022], [0.3009207546710968, 0.8959862589836121], [0.3045660853385925, 0.9036511182785034], [0.2924828231334686, 0.9092799425125122]]","[[0.4278470575809479, 0.8668358325958252], [0.4278470575809479, 0.8668358325958252], [0.3240019977092743, 0.8998404145240784], [0.3221938014030456, 0.8954590559005737], [0.3242626786231994, 0.8991546630859375], [0.315483957529068, 0.896057665348053]]"
fixation,1487.819,1598.85,111.03099999999995,11,"[15.149661710641046, 15.149661710641046, 17.098734519086637, 18.428520020384223, 15.954804555436425, 19.06422468959858, 16.92645394867668, 13.10001299888141, 15.234518376354997, 12.416099574835352, 9.723804810132092]","[[0.2922019362449646, 0.9025616645812988], [0.2922019362449646, 0.9025616645812988], [0.2927461862564087, 0.8997963666915894], [0.29425710439682, 0.9049683809280396], [0.295741319656372, 0.9108174443244934], [0.294915497303009, 0.9134408831596376], [0.2937017381191253, 0.9070824384689332], [0.2928585708141327, 0.9039261937141418], [0.2945016026496887, 0.9027764201164246], [0.2935040295124054, 0.90155827999115], [0.2944549322128296, 0.9047582745552064]]","[[0.3130884766578674, 0.9008192420005798], [0.3130884766578674, 0.9008192420005798], [0.3139831721782684, 0.896851658821106], [0.3134021461009979, 0.8931075930595398], [0.3111288249492645, 0.8905205130577087], [0.3106029033660888, 0.8962069749832153], [0.309687077999115, 0.8938278555870056], [0.3117819726467132, 0.8976708650588989], [0.3109102249145508, 0.8994025588035583], [0.3125998675823211, 0.903399646282196], [0.3132196068763733, 0.904483199119568]]"
fixation,1609.953,1632.16,22.207000000000107,3,"[15.740177864256749, 15.740177864256749, 11.995366501621172]","[[0.2947722673416137, 0.905671775341034], [0.2947722673416137, 0.905671775341034], [0.2943677902221679, 0.9013959169387816]]","[[0.3131785094738006, 0.9065383672714232], [0.3131785094738006, 0.9065383672714232], [0.3125470280647278, 0.905910313129425]]"
saccade,1643.263,1654.366,11.103000000000065,2,"[24.793976856613472, 24.793976856613472]","[[0.2911244928836822, 0.9074629545211792], [0.2911244928836822, 0.9074629545211792]]","[[0.3091655969619751, 0.8946809768676758], [0.3091655969619751, 0.8946809768676758]]"
saccade,1665.469,1709.881,44.412000000000035,5,"[34.61967921304113, 34.61967921304113, 35.60552025054819, 28.76944240111246, 36.2215426489462]","[[0.2927360236644745, 0.9144840836524964], [0.2927360236644745, 0.9144840836524964], [0.2916857302188873, 0.9122189283370972], [0.2920082807540893, 0.9094265699386596], [0.2874453067779541, 0.909660577774048]]","[[0.3105728924274444, 0.8911559581756592], [0.3105728924274444, 0.8911559581756592], [0.3098212778568268, 0.8979198932647705], [0.3096108734607696, 0.8970592021942139], [0.302077442407608, 0.8983977437019348]]"
