type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
saccade,344.197,355.3,11.103000000000009,2,"[104.09397855613295, 104.09397855613295]","[[0.7437534928321838, 0.2664390504360199], [0.7437534928321838, 0.2664390504360199]]","[[0.7468301057815552, 0.2433490604162216], [0.7468301057815552, 0.2433490604162216]]"
saccade,366.403,388.61,22.206999999999994,3,"[22.99804565283518, 22.99804565283518, 40.060120765833865]","[[0.7456508874893188, 0.2767919301986694], [0.7456508874893188, 0.2767919301986694], [0.7452298998832703, 0.2702130377292633]]","[[0.7449723482131958, 0.2426832318305969], [0.7449723482131958, 0.2426832318305969], [0.7417053580284119, 0.2443494349718094]]"
saccade,399.713,421.919,22.20599999999996,3,"[21.30345727559664, 21.30345727559664, 42.36811181697235]","[[0.7425618171691895, 0.2619774639606476], [0.7425618171691895, 0.2619774639606476], [0.7399940490722656, 0.2724938988685608]]","[[0.7418220639228821, 0.2479584217071533], [0.7418220639228821, 0.2479584217071533], [0.7200838923454285, 0.2886796593666076]]"
saccade,433.022,455.228,22.206000000000017,3,"[25.851743480093173, 25.851743480093173, 69.58388822613065]","[[0.7405493259429932, 0.2829540073871612], [0.7405493259429932, 0.2829540073871612], [0.7408995032310486, 0.2836482524871826]]","[[0.7235864400863647, 0.2840002477169037], [0.7235864400863647, 0.2840002477169037], [0.744557797908783, 0.2483760565519333]]"
saccade,466.332,488.538,22.206000000000017,3,"[29.81478299121292, 29.81478299121292, 71.32956776890421]","[[0.7397693395614624, 0.2779857218265533], [0.7397693395614624, 0.2779857218265533], [0.7393779158592224, 0.2747691571712494]]","[[0.7432613372802734, 0.2483192235231399], [0.7432613372802734, 0.2483192235231399], [0.7420963048934937, 0.2546508908271789]]"
saccade,499.641,521.847,22.20599999999996,3,"[34.76119177108445, 34.76119177108445, 74.9561790989602]","[[0.7395045161247253, 0.2677744925022125], [0.7395045161247253, 0.2677744925022125], [0.735359787940979, 0.2664651870727539]]","[[0.7413425445556641, 0.2546647489070892], [0.7413425445556641, 0.2546647489070892], [0.7391605973243713, 0.2525708675384521]]"
saccade,532.95,555.157,22.206999999999994,3,"[27.107800500341856, 27.107800500341856, 67.29928425623046]","[[0.7346434593200684, 0.273247629404068], [0.7346434593200684, 0.273247629404068], [0.735580325126648, 0.2764672040939331]]","[[0.7413223385810852, 0.253781110048294], [0.7413223385810852, 0.253781110048294], [0.7413255572319031, 0.2568090856075287]]"
fixation,566.26,610.672,44.412000000000035,5,"[3.096889162673449, 3.096889162673449, 7.85634037707162, 0.0, 5.790223858987707]","[[0.738760232925415, 0.2749559581279754], [0.738760232925415, 0.2749559581279754], [0.7364037036895752, 0.2814090549945831], [0.7364037036895752, 0.2814090549945831], [0.7340573072433472, 0.2766642868518829]]","[[0.7407590746879578, 0.2555175125598907], [0.7407590746879578, 0.2555175125598907], [0.7396978139877319, 0.2522743046283722], [0.7386683225631714, 0.2539770603179931], [0.7386683225631714, 0.2539770603179931]]"
fixation,621.775,632.878,11.103000000000065,2,"[0.0, 0.0]","[[0.7333554625511169, 0.2804284691810608], [0.7333554625511169, 0.2804284691810608]]","[[0.7393592000007629, 0.2577987909317016], [0.7393592000007629, 0.2577987909317016]]"
saccade,643.982,655.085,11.103000000000065,2,"[58.686237730599075, 58.686237730599075]","[[0.7287603616714478, 0.2798592150211334], [0.7287603616714478, 0.2798592150211334]]","[[0.7377676367759705, 0.2559630870819092], [0.7377676367759705, 0.2559630870819092]]"
